Time,N,Answer,Ratio,Type
0.01,8,22562,1,exact
0.03,9,14161,1,exact
0.2,10,21419,1,exact
2.06,11,13631,1,exact
24.4,12,30080,1,exact
320.87,13,22912,1,exact
4434.6,14,19352,1,exact
0.01,1,0,1,exact
0.01,2,18508,1,exact
0.01,3,12,1,exact
0.01,4,80,1,exact
0.01,5,24959,1,exact
0.01,6,16418,1,exact
0.01,7,24769,1,exact
0.01,8,22562,1,exact
0.03,9,14161,1,exact
0.2,10,21419,1,exact
2.05,11,13631,1,exact
24.29,12,30080,1,exact
320.48,13,22912,1,exact
4834.73,14,19352,1,exact
0.01,1,0,1,exact
0.01,2,18508,1,exact
0.01,3,12,1,exact
0.01,4,80,1,exact
0.01,5,24959,1,exact
0.01,6,16418,1,exact
0.01,7,24769,1,exact
0.01,8,22562,1,exact
0.03,9,14161,1,exact
0.2,10,21419,1,exact
2.19,11,13631,1,exact
24.48,12,30080,1,exact
314.52,13,22912,1,exact
4393.02,14,19352,1,exact
0.01,1,0,1,exact
0.01,2,18508,1,exact
0.01,3,12,1,exact
0.01,4,80,1,exact
0.01,5,24959,1,exact
0.01,6,16418,1,exact
0.01,7,24769,1,exact
0.01,8,22562,1,exact
0.03,9,14161,1,exact
0.21,10,21419,1,exact
2.15,11,13631,1,exact
24.95,12,30080,1,exact
320.27,13,22912,1,exact
4717.27,14,19352,1,exact
0.01,1,0,1,exact
0.01,2,18508,1,exact
0.01,3,12,1,exact
0.01,4,80,1,exact
0.01,5,24959,1,exact
0.01,6,16418,1,exact
0.01,7,24769,1,exact
0.01,8,22562,1,exact
0.03,9,14161,1,exact
0.21,10,21419,1,exact
2.11,11,13631,1,exact
24.85,12,30080,1,exact
318.78,13,22912,1,exact
4422.53,14,19352,1,exact
0.01,1,0,1,exact
0.01,2,18508,1,exact
0.01,3,12,1,exact
0.01,4,80,1,exact
0.01,5,24959,1,exact
0.01,6,16418,1,exact
0.01,7,24769,1,exact
0.01,8,22562,1,exact
0.03,9,14161,1,exact
0.2,10,21419,1,exact
2.09,11,13631,1,exact
25.45,12,30080,1,exact
321.76,13,22912,1,exact
4443.69,14,19352,1,exact
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,1,0,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,2,18508,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
0.04,3,12,1,approx
1.1,4,80,1,approx
5.12,4,80,1,approx
10.17,4,80,1,approx
30.03,4,80,1,approx
60.14,4,80,1,approx
300.03,4,80,1,approx
600.21,4,80,1,approx
1200.17,4,80,1,approx
1.1,5,24959,1,approx
5.12,5,24959,1,approx
10.17,5,24959,1,approx
30.03,5,24959,1,approx
60.14,5,24959,1,approx
300.03,5,24959,1,approx
600.21,5,24959,1,approx
1200.17,5,24959,1,approx
1.1,6,16418,1,approx
5.12,6,16418,1,approx
10.04,6,16418,1,approx
30.17,6,16418,1,approx
60.03,6,16418,1,approx
300.17,6,16418,1,approx
600.14,6,16418,1,approx
1200.04,6,16418,1,approx
1.21,7,26095,1.05353466,approx
5.19,7,24769,1,approx
10.09,7,24769,1,approx
30.07,7,24769,1,approx
60.17,7,24769,1,approx
300.17,7,24769,1,approx
600.09,7,24769,1,approx
1200.21,7,24769,1,approx
1.19,8,22562,1,approx
5.07,8,22562,1,approx
10.14,8,22562,1,approx
30.2,8,22562,1,approx
60.23,8,22562,1,approx
300.11,8,22562,1,approx
600.12,8,22562,1,approx
1200.16,8,22562,1,approx
1.22,9,19574,1.382247016,approx
5.24,9,14161,1,approx
10.05,9,14161,1,approx
30.11,9,14161,1,approx
60.23,9,14161,1,approx
300.15,9,14161,1,approx
600.08,9,14161,1,approx
1200.07,9,14161,1,approx
1.26,10,22570,1.053737336,approx
5.28,10,21801,1.017834633,approx
10.27,10,21419,1,approx
30.03,10,21419,1,approx
60.26,10,21419,1,approx
300.04,10,21419,1,approx
600.24,10,21419,1,approx
1200.07,10,21419,1,approx
1.06,11,15598,1.144303426,approx
5.12,11,14968,1.098085247,approx
10.26,11,14835,1.088328076,approx
30.09,11,13631,1,approx
60.03,11,13631,1,approx
300.21,11,13631,1,approx
600.07,11,13631,1,approx
1200.21,11,13631,1,approx
1.11,12,34118,1.134242021,approx
5.24,12,31330,1.041555851,approx
10.17,12,32503,1.080551862,approx
30.05,12,30979,1.029886968,approx
60.19,12,30080,1,approx
300.04,12,30080,1,approx
600.14,12,30080,1,approx
1200.21,12,30080,1,approx
1.28,13,25852,1.128317039,approx
5.09,13,26710,1.165764665,approx
10.25,13,24198,1.056127793,approx
30.1,13,23723,1.035396299,approx
60.12,13,23723,1.035396299,approx
300.04,13,22912,1,approx
600.13,13,22912,1,approx
1200.24,13,22912,1,approx
1.31,14,26595,1.374276561,approx
5.18,14,21915,1.132441091,approx
10.19,14,21380,1.10479537,approx
30.1,14,21279,1.099576271,approx
60.03,14,19485,1.006872675,approx
300.19,14,19352,1,approx
600.27,14,19352,1,approx
